Sales_Order #,Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product_Description,Order_Quantity, Unit_Cost , Unit_Price , Profit , Cost ,Revenue
261695,0,1.0,0,2021,39,0,0,7,1,0,0,5,4.0,1,1,14,16,20
261695,0,1.0,0,2021,44,0,1,6,2,0,0,7,1.0,2,2,3,5,9
261697,1,2.0,0,2021,37,0,1,0,1,0,0,11,2.0,7,7,18,20,2
261698,1,2.0,0,2021,31,1,0,1,5,0,0,10,1.0,7,7,13,15,19
261699,2,3.0,0,2021,37,0,0,5,1,0,0,5,2.0,0,1,6,0,12
261700,2,3.0,0,2021,24,2,0,6,2,0,0,3,1.0,1,1,1,3,7
261701,2,3.0,0,2021,37,0,1,8,16,0,0,5,1.0,1,1,1,3,7
261701,2,3.0,0,2021,37,0,1,7,16,0,0,5,1.0,1,1,1,3,7
261702,3,4.0,0,2021,31,1,0,1,5,0,0,10,4.0,7,0,4,6,0
261703,4,5.0,0,2021,39,0,0,7,1,0,0,5,4.0,1,1,14,16,20
261704,4,13.534090909090908,0,2021,42,0,1,4,7,0,0,3,4.0,1,1,14,16,20
261705,4,5.0,0,2021,35,0,0,1,9,0,0,6,1.0,2,2,3,5,9
261706,4,5.0,0,2021,37,0,0,7,1,0,0,5,1.0,1,1,1,3,7
261707,5,6.0,0,2021,23,2,1,6,2,0,0,11,3.0,7,7,2,4,8
261708,5,6.0,0,2021,27,1,1,2,0,0,0,5,1.0,1,1,1,3,7
261709,5,6.0,0,2021,36,0,1,1,5,0,0,4,1.0,1,1,1,3,7
261710,5,6.0,0,2021,47,0,1,6,2,0,0,6,1.0,2,2,3,5,9
261711,6,7.0,1,2021,30,1,1,7,1,0,0,9,4.0,7,7,4,6,10
261712,6,7.0,0,2021,38,0,1,7,1,0,0,7,2.0,2,2,7,9,13
261713,7,8.0,0,2021,19,2,0,1,5,0,0,17,4.0,6,6,0,2,6
261714,7,8.0,0,2021,30,1,0,2,0,0,0,6,4.0,2,2,15,17,21
261715,7,8.0,0,2021,39,0,0,7,8,0,0,5,2.0,1,1,6,8,12
261716,7,8.0,0,2021,35,0,0,7,1,0,0,13,2.125,5,5,9,0,0
261717,8,9.0,0,2021,33,1,0,1,15,0,0,0,2.0,3,3,8,12,16
261718,8,9.0,0,2021,41,0,0,4,3,0,0,7,1.0,2,2,3,5,9
261719,9,10.0,0,2021,34,1,0,7,1,0,0,4,2.0,1,1,6,8,12
261720,9,10.0,0,2021,40,0,1,1,5,0,0,4,2.0,1,1,6,8,12
261721,9,10.0,0,2021,26,1,1,6,2,0,0,3,1.0,1,1,1,3,7
261722,9,10.0,0,2021,34,1,1,7,1,0,0,12,1.0,5,5,9,10,14
261723,9,10.0,0,2021,34,1,0,7,16,0,0,2,1.0,4,4,5,7,11
261724,9,10.0,0,2021,38,0,1,1,5,0,0,3,1.0,1,1,1,3,7
261725,10,11.0,0,2021,24,2,0,3,10,0,0,3,3.0,1,1,11,11,17
261726,10,11.0,0,2021,41,0,0,1,5,0,0,9,2.0,7,7,18,20,2
261727,10,11.0,0,2021,27,1,1,2,0,0,0,5,1.0,1,1,1,3,7
261728,10,11.0,0,2021,37,0,1,7,1,0,0,11,1.0,7,7,13,15,19
261729,10,11.0,0,2021,38,0,0,7,1,0,0,6,1.0,2,2,3,5,9
261730,11,12.0,0,2021,36,0,0,1,5,0,0,7,4.0,2,2,15,17,21
261731,11,12.0,0,2021,37,0,1,7,1,0,0,11,4.0,7,7,4,6,10
261732,11,12.0,0,2021,34,1,1,1,5,0,0,3,2.0,1,1,6,8,12
261733,11,12.0,0,2021,35,0,0,1,15,0,0,7,1.0,2,2,3,5,9
261734,11,12.0,0,2021,38,0,0,7,16,0,0,7,1.0,2,2,3,5,9
261735,12,13.0,0,2021,32,1,0,1,9,0,0,7,3.0,2,2,12,13,18
261736,12,13.0,0,2021,40,0,0,7,1,0,0,16,1.0,6,6,10,14,15
261737,12,13.0,0,2021,44,0,0,6,2,0,0,3,1.0,1,1,1,3,7
261738,12,13.0,0,2021,49,0,1,6,2,0,0,3,1.0,1,1,1,3,7
261739,13,14.0,0,2021,30,1,0,7,16,0,0,6,2.0,2,2,7,9,13
261740,13,14.0,0,2021,32,1,1,7,1,0,0,5,1.0,1,1,1,3,7
261741,13,14.0,0,2021,32,1,0,1,15,0,0,11,1.0,7,7,13,15,19
261742,14,15.0,0,2021,29,1,0,7,1,0,0,7,1.0,2,2,3,5,9
261743,15,16.0,0,2021,33,1,0,1,5,0,0,3,2.0,1,1,6,8,12
261744,15,16.0,0,2021,38,0,1,1,5,0,0,3,2.0,1,1,6,8,12
